frase,intencao
"que horas são agora?",ver_horas
"me diga as horas, por favor",ver_horas
"você pode me falar as horas?",ver_horas
"que horas são nesse momento?",ver_horas
"mostre o horário atual",ver_horas
"eu quero saber a hora",ver_horas
"que horas são neste exato instante?",ver_horas
"pode informar o horário?",ver_horas
"horas, por favor",ver_horas
"me diz que horas são",ver_horas
"qual é a hora certa agora?",ver_horas
"que hora está marcando aí?",ver_horas
"me fala o horário exato",ver_horas
"preciso saber as horas",ver_horas
"me mostra que horas são",ver_horas
"qual o horário atual?",ver_horas
"pode dizer que horas são agora?",ver_horas
"qual o tempo agora no relógio?",ver_horas
"por gentileza, me informe as horas",ver_horas
"que horas são no momento?",ver_horas
"você sabe que horas são?",ver_horas
"poderia me falar a hora?",ver_horas
"qual o horário neste momento?",ver_horas
"que horas temos agora?",ver_horas
"informa as horas pra mim",ver_horas
"Qual é o horário agora?",ver_horas
"Me diga a hora atual",ver_horas
"qual o horário exato?",ver_horas
"Você consegue me falar as horas?",ver_horas
"me informe o horário exato",ver_horas
"que horas são agora exatamente?",ver_horas
"qual é a hora neste momento?",ver_horas
"qual é a hora agora?",ver_horas
"você pode me dar a hora exata?",ver_horas
"Me diga a hora do dia",ver_horas
"Qual hora é?",ver_horas
"Tem como me passar a hora?",ver_horas
"Fala pra mim as horas",ver_horas
"Me fala a hora agora",ver_horas
"Que horas estão no relógio agora?",ver_horas
"Você tem a hora exata?",ver_horas
"Me diz o horário agora, por favor",ver_horas
"Você pode me mostrar as horas?",ver_horas
"Qual é a hora do dia?",ver_horas
"Qual horário estamos?",ver_horas
"Pode me falar as horas agora?",ver_horas
"Que horas são agora exatamente, por favor?",ver_horas
"Você sabe que hora é agora?",ver_horas
"qual é a data de hoje?",ver_data
"me diga a data atual",ver_data
"que dia é hoje?",ver_data
"pode me informar a data de hoje?",ver_data
"qual o dia de hoje?",ver_data
"que data é hoje?",ver_data
"você pode me falar o dia de hoje?",ver_data
"me diz que dia é hoje",ver_data
